dv,task,measure_description,overall_difference,raw_fit,rt_acc,ddm_task,num_all_trials
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,overall,raw,accuracy,1,352
adaptive_n_back.avg_rt,task,Median response times for correct responses only,overall,raw,rt,1,352
adaptive_n_back.EZ_drift,task,EZ ddm drift rate parameter for 2 back blocks only,overall,EZ,drift rate,1,352
adaptive_n_back.EZ_non_decision,task,EZ ddm non-decision time parameter for 2 back blocks only,overall,EZ,non-decision,1,352
adaptive_n_back.EZ_thresh,task,EZ ddm threshold parameter for 2 back blocks only,overall,EZ,threshold,1,352
adaptive_n_back.hddm_drift,task,Hddm drift rate parameter for 2 back blocks only,overall,hddm,drift rate,1,435
adaptive_n_back.hddm_non_decision,task,Hddm non-decision time parameter for 2 back blocks only,overall,hddm,non-decision,1,435
adaptive_n_back.hddm_thresh,task,Hddm threshold parameter for 2 back blocks only,overall,hddm,threshold,1,435
adaptive_n_back.mean_load,task,Average delay/load throughout the task,overall,raw,other,1,435
adaptive_n_back.hddm_drift_load,task,,overall,hddm,drift rate,1,435
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,condition,raw,other,0,22
angling_risk_task_always_sunny.keep_score,task,Total score for the trials  in the condition where probability of loosing everything in the round increased with each click,condition,raw,other,0,22
angling_risk_task_always_sunny.release_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round stayed constant with each click,condition,raw,other,0,20
angling_risk_task_always_sunny.release_score,task,Total score for the trials  in the condition where probability of loosing everything in the round stayed constant with each click,condition,raw,other,0,20
angling_risk_task_always_sunny.keep_coef_of_variation,task,,condition,fit,other,0,22
angling_risk_task_always_sunny.release_coef_of_variation,task,,condition,fit,other,0,20
attention_network_task.acc,task,Proportion of correct responses (correct/all responses; excluding no response trials) where correct response means indicating which direction the middle arrow pointed towards,overall,raw,accuracy,1,139
attention_network_task.alerting_acc,task,Difference in accuracy between nocue and double cue trials,difference,raw,accuracy,1,35
attention_network_task.alerting_EZ_drift,task,Difference in EZ ddm drift rate parameter between nocue and double cue trials,difference,EZ,drift rate,1,35
attention_network_task.alerting_EZ_non_decision,task,Difference in EZ ddm non-decision time parameter between nocue and double cue trials,difference,EZ,non-decision,1,35
attention_network_task.alerting_EZ_thresh,task,Difference in EZ ddm threshold parameter between nocue and double cue trials,difference,EZ,threshold,1,35
attention_network_task.alerting_hddm_drift,task,Difference in hddm drift rate parameter between nocue and double cue trials,difference,hddm,drift rate,1,36
attention_network_task.alerting_rt,task,Difference in median response time between nocue and double cue trials,difference,raw,rt,1,35
attention_network_task.avg_rt,task,Median response time for correct responses,overall,raw,rt,1,139
attention_network_task.conflict_acc,task,Difference in accuracy between incongruent and congruent flanker trials,difference,raw,accuracy,1,35
attention_network_task.conflict_EZ_drift,task,Difference in EZ ddm drift parameter between incongruent and congruent flanker trials,difference,EZ,drift rate,1,35
attention_network_task.conflict_EZ_non_decision,task,Difference in EZ ddm non-decision time parameter between incongruent and congruent flanker trials,difference,EZ,non-decision,1,35
attention_network_task.conflict_EZ_thresh,task,Difference in EZ ddm threshold parameter between incongruent and congruent flanker trials,difference,EZ,threshold,1,35
attention_network_task.conflict_hddm_drift,task,Difference in hddm drift parameter between incongruent and congruent flanker trials,difference,hddm,drift rate,1,36
attention_network_task.conflict_rt,task,Difference in median response time between incongruent and congruent flanker trials,difference,raw,rt,1,35
attention_network_task.congruent_rt,task,,condition,raw,rt,1,46
attention_network_task.EZ_drift,task,EZ ddm drift parameter for all trials with response (excluding no response trials),overall,EZ,drift rate,1,139
attention_network_task.EZ_non_decision,task,EZ ddm non-decision time parameter for all trials with response (excluding no response trials),overall,EZ,non-decision,1,139
attention_network_task.EZ_thresh,task,EZ ddm threshold parameter for all trials with response (excluding no response trials),overall,EZ,threshold,1,139
attention_network_task.hddm_drift,task,Hddm drift parameter for all trials with response (excluding no response trials),overall,hddm,drift rate,1,142
attention_network_task.hddm_non_decision,task,Hddm non-decision time parameter for all trials with response (excluding no response trials),overall,hddm,non-decision,1,142
attention_network_task.hddm_thresh,task,Hddm threshold parameter for all trials with response (excluding no response trials),overall,hddm,threshold,1,142
attention_network_task.incongruent_rt,task,,condition,raw,rt,1,46
