"dv","task_group","var","task","retest_reliability","type","days","sample_size","reference","overall_difference","raw_fit","rt_acc","ddm_task","mturk","clinical","total_trial_numbers","condition_trial_numbers","mean_icc2.1","mean_icc3.k","mean_pearson"
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.493,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","accuracy",1,0,"",262,64,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.732,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","accuracy",1,0,"",262,64,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.519,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","accuracy",1,0,"",262,64,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.538,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","accuracy",1,0,"",262,64,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.65,"Pearson",18,105,"Van Leeuwen et al. (2007)","overall","raw","accuracy",1,0,"",240,20,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.7,"Pearson",18,105,"Van Leeuwen et al. (2007)","overall","raw","accuracy",1,0,"",240,20,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.16,"Pearson",18,29,"Van Leeuwen et al. (2007)","overall","raw","accuracy",1,0,"",240,20,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.7,"Pearson",18,29,"Van Leeuwen et al. (2007)","overall","raw","accuracy",1,0,"",240,20,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.acc","Adaptive N-back","acc","task",0.69,"Pearson",28,112,"Studer-Luethi et al. (2012)","overall","raw","accuracy",1,0,"",300,20,0.166555405082918,0.27786213910624,0.186067850286651
"adaptive_n_back.avg_rt","Adaptive N-back","avg rt","task",0.857,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","rt",1,0,"",262,64,0.608052532396616,0.753919295160938,0.610279812182945
"adaptive_n_back.avg_rt","Adaptive N-back","avg rt","task",0.787,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","rt",1,0,"",262,64,0.608052532396616,0.753919295160938,0.610279812182945
"adaptive_n_back.avg_rt","Adaptive N-back","avg rt","task",0.691,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","rt",1,0,"",262,64,0.608052532396616,0.753919295160938,0.610279812182945
"adaptive_n_back.avg_rt","Adaptive N-back","avg rt","task",0.806,"Pearson",7,70,"Hockey and Geffen (2004)","overall","raw","rt",1,0,"",262,64,0.608052532396616,0.753919295160938,0.610279812182945
